ID,V,ConditionFull,Color,Condition,LowowOrHhigh,ImageFileName,QuestionText,ChartNumber,A,B,C,D,E,QCorrectAnswer,ColorA,ColorB,ColorC,ColorD,ColorE
28,V3,Chart3NL,Neutral,NL,Low,images/Chart3NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,B,#595959,#595959,#595959,#595959,#595959
29,V3,Chart9NH,Neutral,NH,High,images/Chart9NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart9,92,61,84,47,70,A,#595959,#595959,#595959,#595959,#595959
30,V3,Chart4NL,Neutral,NL,Low,images/Chart4NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart4,87,56,79,42,65,C,#595959,#595959,#595959,#595959,#595959
31,V3,Chart6NH,Neutral,NH,High,images/Chart6NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart6,81,44,67,89,58,D,#595959,#595959,#595959,#595959,#595959
32,V4,Chart4RL,Random,RL,Low,images/Chart4RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart4,87,56,79,42,65,D,#595959,#FFC000,#595959,#00B0F0,#595959
33,V4,Chart9RH,Random,RH,High,images/Chart9RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart9,92,61,84,47,70,A,#00B0F0,#595959,#595959,#FFC000,#595959
34,V4,Chart8RL,Random,RL,Low,images/Chart8RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart8,69,66,89,83,46,E,#595959,#595959,#FFC000,#595959,#00B0F0
35,V4,Chart2RH,Random,RH,High,images/Chart2RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart2,40,63,85,54,77,C,#FFC000,#595959,#00B0F0,#595959,#595959
36,V4,Chart6RL,Random,RL,Low,images/Chart6RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart6,81,44,67,89,58,B,#595959,#00B0F0,#595959,#FFC000,#595959
37,V4,Chart7RH,Random,RH,High,images/Chart7RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart7,45,68,90,59,82,C,#FFC000,#595959,#00B0F0,#595959,#595959
38,V4,Chart10RL,Random,RL,Low,images/Chart10RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart10,62,85,48,71,93,C,#595959,#595959,#00B0F0,#595959,#FFC000
39,V4,Chart1RH,Random,RH,High,images/Chart1RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart1,76,39,62,84,53,D,#595959,#FFC000,#595959,#00B0F0,#595959
40,V4,Chart3RL,Random,RL,Low,images/Chart3RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,E,#595959,#FFC000,#595959,#595959,#00B0F0
41,V4,Chart5RH,Random,RH,High,images/Chart5RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart5,57,80,43,66,88,E,#595959,#595959,#FFC000,#595959,#00B0F0
